,LONGITUDE,LATITUDE,ADDRESSBLOCKHOUSENUMBER,EST_ORIGINAL_COMPLETION_DATE,STATUS,LANDYADDRESSPOINT,PHOTOURL,DESCRIPTION,NAME,ADDRESSTYPE,HUP_COMPLETION_DATE,LANDXADDRESSPOINT,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,ADDRESS_MYENV,INC_CRC,FMEL_UPD_D,APPROXIMATE_GFA,AWARDED_DATE,ADDRESSBUILDINGNAME,IMPLEMENTATION_DATE,CLEANINGSTARTDATE,INFO_ON_CO_LOCATORS,CLEANINGENDDATE,RNR_STATUS
0,103.938732580554,1.33198706861747,85,30/6/1977,Existing,34910.13,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg,HUP Standard Upgrading,Bedok North Street 4 Blk 85 (85 Fengshan Centre),I,20/12/2012,39731.49,Bedok North Street 4,460085,"Blk 85, Bedok North Street 4, Singapore 460085",CFC780A1B5DC7721,20210330151704,,,,,,,,
1,103.818338919994,1.28733076703987,85,4/4/1972,Existing,29972.02,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153717849.jpg,HUP Reconfiguration,Redhill Lane Blk 85 (Redhill Food Centre),I,17/6/2005,26332.89,Redhill Lane,150085,"Blk 85, Redhill Lane, Singapore 150085",1D515CA502CE0A60,20210330151704,,,,,,,,
2,103.828994204342,1.37238494002145,590,1974,Existing,39376.87,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155861677.jpg,HUP Standard Upgrading,Sembawang Hills Food Centre (Jalan Leban Food Centre),I,26/2/2003,27518.75,Upper Thomson Road,574419,"590, Upper Thomson Road, Singapore 574419",6CC207917DD43B91,20210330151704,884.38,,,,,,,
3,103.866737484646,1.3631571201113,49A,1957,Existing,38356.53,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156095817.jpg,HUP Rebuilding,Serangoon Garden Market,I,26/9/2002,31719.13,Serangoon Garden Way,555945,"49A, Serangoon Garden Way, Singapore 555945",F3EA4B58784B2F78,20210330151704,2448.2,,,,,,,
4,103.837031803823,1.35200744198417,320,25/5/2000,Existing,37123.63,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901832200.jpg,Not eligible for HUP,Shunfu Road Blk 320 (Shunfu Mart),I,,28413.24,Shunfu Road,570320,"Blk 320, Shunfu Road, Singapore 570320",93EF4005DC826C1A,20210330151704,,,,,,,,
5,103.879417030673,1.31708335109103,49,20/9/1976,Existing,33261.95,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153128123.jpg,HUP Reconfiguration,Sims Place Blk 49 (Sims Vista Market and Food Centre),I,15/11/2006,33130.31,Sims Place,380049,"Blk 49, Sims Place, Singapore 380049",87604B5AB1B25468,20210330151704,,,,,,,,
6,103.843177616296,1.28223514826381,335,31/5/1983,Existing,29408.57,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168178798.jpg,HUP Reconfiguration,Smith Street Blk 335 (Chinatown Complex Market),I,30/4/2008,29097.23,Smith Street,50335,"Blk 335, Smith Street, Singapore 050335",B4A7F7D00E4690FF,20210330151704,,,,,,,,
7,103.721519868629,1.33458935951076,3,23/3/2005,Existing,35197.91,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156147897.jpg,HUP Rebuilding,Taman Jurong Market and Food Centre,I,23/3/2005,15557.970000000001,Yung Sheng Road,618499,"3, Yung Sheng Road, Singapore 618499",45EB3EEB56AAB21F,20210330151704,7770.3,,,,,,,
8,103.944624481151,1.3456395210229,137,30/11/1982,Existing,36419.78,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154543785.jpg,HUP Reconfiguration,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),I,8/1/2006,40387.13,Tampines Street 11,521137,"Blk 137, Tampines Street 11, Singapore 521137",F6017D5F1F34E420,20210330151704,,,,,,,,
9,103.797625756738,1.30078931480841,48A,1964,Existing,31460.22,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156211794.jpg,HUP Standard Upgrading,Tanglin Halt Market,I,1/10/2003,24027.71,Tanglin Halt Road,148813,"48A, Tanglin Halt Road, Singapore 148813",74052054BAD38DD9,20210330151704,2030.92,,,,,,,
10,103.843166992138,1.27661461066321,6,18/4/1977,Existing,28787.08,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-6-tanjong-pagar-plaza.jpg,HUP Standard Upgrading,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),I,27/12/2013,29096.05,Tanjong Pagar Plaza,81006,"Blk 6, Tanjong Pagar Plaza, Singapore 081006",90C2DF39720A2465,20210330151704,,,,,,,,
11,103.742891623681,1.32084835041654,37A,1/11/1976,Existing,33678.4,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153022672.jpg,HUP Rebuilding,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),I,3/1/2008,17936.37,Teban Gardens Road,601037,"Blk 37A, Teban Garden Road, Singapore 601037",D50987C71DBF2D4C,20210330151704,,,,,,,,
12,103.818641695106,1.27736683810318,11,19/10/1974,Existing,28870.260000000002,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876741836.gif,HUP Standard Upgrading,Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),I,15/1/2010,26366.58,Telok Blangah Crescent,90011,"Blk 11, Telok Blangah Crescent, Singapore 090011",917DDC2AA52EDFBD,20210330151704,,,,,,,,
13,103.807626838954,1.27336828250285,79,30/5/1977,Existing,28428.13,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153497855.jpg,HUP Standard Upgrading,Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),I,20/8/2005,25140.71,Telok Blangah Drive,100079,"Blk 79, Telok Blangah Drive, Singapore 100079",47E27FD755A278B1,20210330151704,,,,,,,,
14,103.807943567416,1.27391379857001,82,30/5/1977,Existing,28488.45,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153608307.jpg,HUP Standard Upgrading,Telok Blangah Drive Blk 82 (Telok Blangah Market),I,29/11/2011,25175.96,Telok Blangah Drive,100082,"Blk 82, Telok Blangah Drive, Singapore 100082",1EB09A2246D74491,20210330151704,,,,,,,,
15,103.82211725658,1.27271579716508,36,29/10/1975,Existing,28355.97,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267858653663.jpg,HUP Standard Upgrading,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),I,20/10/2010,26753.38,Telok Blangah Rise,90036,"Blk 36, Telok Blangah Rise, Singapore 090036",336A650EB617CFD9,20210330151704,,,,,,,,
16,103.832348785334,1.28508825756819,30,,Existing,29724.05,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156378375.jpg,HUP Rebuilding,Tiong Bahru Market,I,10/2/2006,27892.07,Seng Poh Road,168898,"30, Seng Poh Road, Singapore 168898",0FAB58D04F39DCE2,20210330151704,10630.72,,,,,,,
17,103.84473162196,1.33809268551386,127,11/3/1969,Existing,35585.01,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154499803.jpg,HUP Reconfiguration,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),I,11/12/2003,29270.15,Lorong 1 Toa Payoh,310127,"Blk 127, Lorong 1 Toa Payoh, Singapore 310127",ED2DB7B7F7FA9EDB,20210330151704,,,,,,,,
18,103.851999137527,1.33454816495637,74,9/9/1968,Existing,35193.08,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226848493.jpg,HUP Reconfiguration,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),I,1/11/2004,30078.95,Lorong 4 Toa Payoh,310074,"Blk 74, Lorong 4 Toa Payoh, Singapore 310074",0F387A4AD9309826,20210330151704,,,,,,,,
19,103.849513484035,1.3384747524617,93,19/7/1967,Existing,35627.26,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154305312.jpg,HUP Standard Upgrading,Toa Payoh Lorong 4 Blk 93,I,20/7/2009,29802.32,Lorong 4 Toa Payoh,310093,"Blk 93, Lorong 4 Toa Payoh, Singapore 310093",8ED7D81782E22725,20210330151704,,,,,,,,
20,103.852941556275,1.33603882157063,75,5/2/1968,Existing,35357.91,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878144152.jpg,HUP Standard Upgrading,Toa Payoh Lorong 5 Blk 75,I,21/11/2012,30183.83,Lorong 5 Toa Payoh,310075,"Blk 75, Lorong 5 Toa Payoh, Singapore 310075",83FB95F62E5F0D57,20210330151704,,,,,,,,
21,103.857036007166,1.33523145909678,22,2/3/1970,Existing,35268.64,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168256123.jpg,HUP Reconfiguration,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),I,16/7/2004,30639.5,Lorong 7 Toa Payoh,310022,"Blk 22, Lorong 7 Toa Payoh, Singapore 310022",E43A2111F5B01E10,20210330151704,,,,,,,,
22,103.854395279214,1.3402608349586,210,27/8/1974,Existing,35824.76,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876959422.jpg,HUP Standard Upgrading,Toa Payoh Lorong 8 Blk 210,I,30/9/2011,30345.61,Lorong 8 Toa Payoh,310210,"Blk 210, Lorong 8 Toa Payoh, Singapore 310210",AD6CE850AB875900,20210330151704,,,,,,,,
23,103.871620273635,1.31502804429519,17,28/2/1974,Existing,33034.67,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226056435.jpg,HUP Standard Upgrading,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),I,13/1/2009,32262.61,Upper Boon Keng Road,380017,"Blk 17, Upper Boon Keng Road, Singapore 380017",5A26A7AC10A29773,20210330151704,,,,,,,,
24,103.845818885585,1.28524640047048,531A,28/1/1978,Existing,29741.54,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878882405.jpg,HUP Reconfiguration,Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),,9/3/2011,29391.18,Upper Cross Street,51531,"Blk 531A, Upper Cross Street, Singapore 051531",A6069393A97212DA,20210330151704,,,,,,,,
